		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
001110111  234  238  256  221  242  258  234  242  4.744542 0.784498 SUCCESS  48
001111011  243  251  225  231  239  228  259  235  4.988150 0.758842 SUCCESS  49
001111101  274  208  224  239  244  224  253  258 14.002726 0.081694 SUCCESS  50
001111111  234  248  239  225  253  216  257  231  7.275952 0.507173 SUCCESS  51
010000011  278  238  216  260  239  219  256  246 12.837642 0.117559 SUCCESS  52
010000111  260  236  257  249  232  248  252  255  3.600641 0.891240 SUCCESS  53
010001011  242  235  249  240  232  251  249  254  1.881611 0.984429 SUCCESS  54
010001111  245  248  244  246  262  244  269  235  4.409845 0.818384 SUCCESS  55
010010011  243  265  259  256  236  243  250  262  5.171386 0.739111 SUCCESS  56
010010111  218  240  234  235  246  235  263  242  5.646952 0.686710 SUCCESS  57
010011011  251  269  246  234  286  242  215  248 14.376612 0.072462 SUCCESS  58
010011111  236  221  269  258  254  257  253  247  7.466603 0.487225 SUCCESS  59
010100011  246  277  250  231  240  240  246  248  5.692497 0.681632 SUCCESS  60
010100111  242  235  244  241  242  245  242  209  5.681905 0.682814 SUCCESS  61
010101011  225  233  251  255  228  263  250  225  7.082125 0.527799 SUCCESS  62
010101111  258  268  246  273  241  240  238  250  7.196515 0.515586 SUCCESS  63
010110011  211  239  250  282  261  250  261  282 19.620552 0.011871 SUCCESS  64
010110111  233  273  231  223  250  250  257  239  7.783294 0.454920 SUCCESS  65
010111011  219  239  274  210  253  243  217  248 15.020586 0.058746 SUCCESS  66
010111111  223  247  234  254  223  255  224  250  7.027048 0.533717 SUCCESS  67
011000111  240  242  284  226  267  253  230  246 11.630191 0.168482 SUCCESS  68
011001111  238  248  239  241  231  222  251  250  3.525440 0.897206 SUCCESS  69
011010111  216  245  242  249  240  248  225  247  5.194688 0.736579 SUCCESS  70
011011111  254  246  241  214  253  252  249  239  5.122664 0.744389 SUCCESS  71
